,#,#.1,Store,Social,Alexa,Growing,Best Selling,Area
0,1,,"VEGAMOUR vegamour.com Vegamour | Vegan Lash, Brow and Hair Growth Serums that Work.",,59255,1664,Click Here,
1,2,,Sunwarrior sunwarrior.com Sunwarrior | 100% Plant-Based Proteins and Supplements,,69287,7434,Click Here,
2,3,,MaryRuth Organics maryruthorganics.com Vegan Vitamins | Liquid Vitamins | Gluten Free Vitamins,,74478,743,Click Here,
3,4,,"Laird Superfood lairdsuperfood.com Laird SuperfoodÂ®-Clean Plant-Based Creamers, Coconut Waters, and More",,88923,2159,Click Here,
4,5,,OSEA® Malibu oseamalibu.com OSEA® Malibu I Clean Seaweed Skincare I Vegan + Cruelty Free,,91533,3127,Click Here,
5,6,,Your Super yoursuper.com Your Super - Organic Superfood Powder Mixes For Smoothies & Breakfast,,100213,3619,Click Here,
6,7,,KOS.com kos.com KOS.com | KOS® - Official Site | Amazing Plant Based Protein,,125472,6393,Click Here,
7,8,,Veestro veestro.com Veestro | Plant-Based Organic Prepared Meal Delivery Service,,143918,1950,Click Here,
8,9,,PEScience pescience.com PEScience: Select The Best,,170499,27285,Click Here,
9,10,,Larry’s Online Delivery larrysmarket.ca Larry’s Free Same Day Delivery - Vegetarian Grocery Store,,200463,56890,Click Here,
10,11,,Miyoko's Creamery miyokos.com Phenomenally Vegan Cheese & Butter,,228535,22256,Click Here,
11,12,,The Very Good Butchers verygoodbutchers.com The Very Good Butchers | Plant Based Vegan Meats,,242183,10808,Click Here,
12,13,,"facetheory.com facetheory.com Vegan Skincare, Natural and Cruelty-Free with Acids and Retinol",,242872,43051,Click Here,
13,14,,"Jade Lilly jadelilly.com Truly natural, vegan, earth-friendly skincare | Jade Lilly",,245433,6159,Click Here,
14,15,,Meow Meow Tweet meowmeowtweet.com Made With Spirit | Meow Meow Tweet,,256851,50358,Click Here,
15,16,,The Beachwaver Co. beachwaver.com Patented Rotating Curling Irons. Allure BEST OF BEAUTY Winner,,261207,15036,Click Here,
16,17,,"nutpods Dairy-Free Creamer nutpods.com nutpods Dairy Free Coffee Creamer - Whole30, Paleo, Keto, Vegan",,296889,12510,Click Here,
17,18,,CLOVE + HALLOW cloveandhallow.com CLOVE + HALLOW - Award-winning Vegan Cosmetics,,298116,24303,Click Here,
18,19,,"Bobo's eatbobos.com Oat Bars, Baked Goods & Healthy Snacks | Bobo's",,302940,7891,Click Here,
19,20,,"Respekt respekt.co WellBeauty: No Harsh Chemicals, No Stress Skincare & Beauty Meditation",,304130,20740,Click Here,
20,21,,Curious Elixirs curiouselixirs.com CURIOUS ELIXIRS | Booze-free Craft Cocktails | Non-alcoholic Beverages,,308081,33908,Click Here,
21,22,,"Smart Pressed Juice smartpressedjuice.com Let's Get You Back On Track- Plant-based, Organic Superfoods for Life",,315499,12414,Click Here,
22,23,,V-dog v-dog.com V-dog Vegan Dog Food | Healthy Dog Treats | Vegan Dog Chews,,335688,3780,Click Here,
23,24,,PiperWai Natural Deodorant piperwai.com PiperWai | Effortless Personal Care That Protects the Earth,,340147,64870,Click Here,
24,25,,EVOLVED CHOCOLATE eatingevolved.com Evolved Chocolate,,344689,53853,Click Here,
25,26,,The PROBAR theprobar.com ProBar | Plant-Based Organic Meal Bars And Snacks,,368788,8488,Click Here,
26,27,,"Herbaland USA herbaland.com Herbaland - Vegan, Sugar-Free Nutritional Gummies",,384819,12640,Click Here,
27,28,,Rule Breaker Snacks rulebreakersnacks.com Delicious Rule Breaker Snacks,,396189,46354,Click Here,
28,29,,Taza Chocolate tazachocolate.com Taza Chocolate | Organic Stone Ground Chocolate for Bold Flavor,,403625,13902,Click Here,
29,30,,Anthonys Goods anthonysgoods.com Anthonys Goods,,410542,15544,Click Here,
